Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
10-Jun-2019,139.9,141.9,145,132.55,136.5,135.9,137.32,86398912,11864166978.65,422780,14837602,17.17
11-Jun-2019,135.9,135,143.5,133.75,139.75,139.55,139.37,80946657,11281481783.7,373154,11812614,14.59
12-Jun-2019,139.55,136,137.8,133.6,135.1,134.75,135.29,56236715,7608120756.9,295801,11775435,20.94
13-Jun-2019,134.75,130.8,130.8,116,116.6,117.1,121.38,197154833,23931443078.15,891767,42155116,21.38
14-Jun-2019,117.1,118.5,121,112.85,114.65,115.05,116.42,155169990,18064208890.05,630153,20118073,12.97
17-Jun-2019,115.05,118,118.35,113.75,115.9,116.15,116.03,84436078,9797431507.05,347747,19478096,22.45
18-Jun-2019,116.15,116,117.5,107.1,109.25,109.3,112.35,116604528,13100546992.35,482488,12457719,10.47
19-Jun-2019,109.3,109,111.45,101.3,103.95,103.2,105.39,126458237,13327834091.2,529303,18888928,14.94
20-Jun-2019,103.2,102,115.9,98.7,115,114.55,108.11,159393077,17231630624.5,603801,16290818,10.22
21-Jun-2019,114.55,114.55,114.8,108.25,109.4,109.6,110.79,106421502,11790880189.8,424333,10592368,9.95
24-Jun-2019,109.6,112,114,108.85,111.4,111.95,111.57,79695315,8891713059.5,317682,4968281,6.23
25-Jun-2019,111.95,111,112.5,109.1,109.65,110.05,110.29,56892279,6274374406.6,217623,6483863,11.4
26-Jun-2019,110.05,109,114.65,108.4,112.35,113.05,112.1,72879532,8169645315.4,264838,7959093,10.92
27-Jun-2019,113.05,113.05,114.5,111.8,112.5,112.4,112.9,51280994,5789563456.65,200990,6041106,11.78
28-Jun-2019,112.4,112.5,113,107.5,108.5,108.75,109.58,68854685,7545434250.05,271806,10081464,14.64
01-Jul-2019,108.75,109.5,110.5,107.65,108.85,109.15,109.28,42545442,4649499516.6,182598,5213320,12.25
02-Jul-2019,109.15,108.05,108.05,99.8,100.1,100.8,102.62,149669579,15358704802.6,567323,35049591,23.42
03-Jul-2019,100.8,100.75,103.8,98.85,99.8,99.75,101.21,112667717,11403637039.4,395027,26018189,23.09
04-Jul-2019,99.75,101,102.15,95.2,96.7,96.25,98.59,108105010,10658359318.25,393181,20844446,19.28
05-Jul-2019,96.25,95,96.85,87.4,87.95,88.15,91.41,220546903,20160055229.05,790884,47772205,21.66
08-Jul-2019,88.15,87,94.6,85.65,93.35,93.15,92.11,197675527,18208429501.55,622435,23044192,11.66
09-Jul-2019,93.15,95,97,90.3,92.2,91.35,93.9,137863884,12945431453.55,477366,12829652,9.31
10-Jul-2019,91.35,92.15,94,91.5,93.25,93,92.92,75776545,7041254247.7,257668,6210850,8.2
11-Jul-2019,93,94,95,90.7,93.25,92.45,92.33,73432269,6779647929.5,264582,5339656,7.27
12-Jul-2019,92.45,93.25,94.85,91.65,94.35,94.2,93.42,60702978,5671071738.65,213781,6399895,10.54
15-Jul-2019,94.2,95,99.3,92.55,92.85,93.2,95.92,126736904,12156902250.1,421595,18521208,14.61
16-Jul-2019,93.2,94,106.5,92.25,106.25,103.85,99.89,228682135,22842876942.75,736995,27721331,12.12
17-Jul-2019,103.85,108.5,108.5,97.55,98.4,98.4,102.28,238375009,24380695382.95,809538,29613479,12.42
18-Jul-2019,98.4,88.6,90.25,79.15,85.9,85.8,87.16,229258092,19983167416.15,822344,45427528,19.82
19-Jul-2019,85.8,86,86.9,82.6,82.75,83.25,84.73,145863654,12359702339.8,483706,18862385,12.93
22-Jul-2019,83.25,83.3,92.5,81.7,91.15,91.15,88.45,208758719,18463966354.95,670826,28037977,13.43
23-Jul-2019,91.15,89,93.9,87.1,90.25,90.65,91,164964349,15012539949.15,509390,10725506,6.5
24-Jul-2019,90.65,91.5,93.65,88.15,88.75,89.15,90.71,104007122,9434281763.5,346799,9766565,9.39
25-Jul-2019,89.15,88.4,90.4,85.85,87.75,87.65,88.18,113015178,9965162931.55,363374,11743736,10.39
26-Jul-2019,87.65,88.75,96.9,87.1,95.6,96.05,93.51,186097455,17402535012.9,588345,26342742,14.16
29-Jul-2019,96.05,95.7,98.7,91.35,94.7,94.75,94.95,138287221,13130583467.65,464412,11173366,8.08
30-Jul-2019,94.75,95,96.3,81.15,85.8,86.05,91.07,120979045,11017060957,395139,18256722,15.09
31-Jul-2019,86.05,86,92.35,84.75,89.7,91.2,89.36,133054947,11890055421.1,419511,12641893,9.5
01-Aug-2019,91.2,88.95,91.3,85.75,89.1,88.4,88.81,111842102,9932209669.05,357707,8766070,7.84
02-Aug-2019,88.4,87.8,90.9,86.8,88.15,88.3,88.83,106397716,9451833048.8,338485,6888909,6.47
05-Aug-2019,88.3,88,88,79.5,81.05,81.1,82.5,136352605,11248489864.85,458718,19455087,14.27
06-Aug-2019,81.1,80.9,86.65,79.7,85.55,85.35,83.58,134819814,11268499387.5,420139,13597734,10.09
07-Aug-2019,85.35,86.5,92,86.1,87.05,86.85,89.64,171429816,15367599723.35,491230,15349434,8.95
08-Aug-2019,86.85,89.25,89.9,84.8,89.45,89.2,88.06,122325009,10771452637.4,377805,8794055,7.19
09-Aug-2019,89.2,91.8,92.45,81.15,82.2,82.15,85.45,187030766,15981878512.8,546004,41466324,22.17
13-Aug-2019,82.15,84,84.2,72.85,73.2,73.6,77.48,206712601,16016606884.95,644643,39495343,19.11
14-Aug-2019,73.6,74.9,77.9,70.55,76.6,76.55,75.51,173114134,13071756783.1,512452,15262969,8.82
